Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,17,5,171,1,1,122.0,1,19,12,5,9,0.026339680832973278,1,0,0,1,1,0,20,0,0,0,0,0,-2.1994239442345584,0,0,0,0,0,-1.9651519497137022,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,0
1,15,1,9254,1,1,160.0,1,1,3,3,3,1.0979115919090314,1,0,0,0,1,0,19,0,0,6,6,6,0.696123064200538,0,0,6,6,6,0.6617120624977382,0,0.8762220667652447,-1.1052215545807416,0.347199421388147,2
1,1,5,9070,1,1,122.0,1,37,37,9,9,-0.14990569927822048,1,0,0,0,1,0,19,0,0,6,0,0,-2.1994239442345584,0,0,6,0,0,-1.9651519497137022,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,0
1,17,2,9773,1,1,122.0,1,38,37,5,3,-0.5164960899095037,1,0,0,1,0,0,20,0,0,6,8,6,0.5779374720195137,0,0,6,10,5,0.4182466174635073,0,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,2
2,39,1,8014,0,1,100.0,1,37,38,9,9,1.027413439864554,0,0,0,1,0,0,45,0,0,6,9,5,0.3514150870058838,0,0,6,6,6,0.5335723545849851,0,0.8762220667652447,-1.1052215545807416,0.347199421388147,2
2,39,1,9991,0,19,133.1,1,37,37,9,7,-0.8548872197229955,0,0,1,1,1,0,50,0,0,5,10,5,0.25292709352169684,0,0,5,17,5,0.24525801178129036,5,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,2
1,1,1,9500,1,1,142.0,1,19,38,7,10,0.10388764808189914,1,0,0,1,0,1,18,0,0,7,9,7,0.5513457137787834,0,0,8,8,8,0.7920942152989647,0,1.476924272807967,1.1370048489905784,-1.7896667428492534,2
1,18,4,9254,1,1,119.0,1,37,37,9,9,-0.9747340781986075,1,0,0,0,1,0,22,0,0,5,5,0,-2.1994239442345584,0,0,5,5,0,-1.9651519497137022,0,1.476924272807967,1.1370048489905784,-1.7896667428492534,0
1,1,3,9238,1,1,137.0,62,1,1,9,9,0.16733598492192928,0,0,0,1,0,1,21,1,0,6,8,6,0.6702699659109389,0,0,6,7,6,0.7532404252925619,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,2
1,1,1,9238,1,1,138.0,1,1,19,4,7,-0.27680237295827975,1,0,1,0,0,0,18,0,0,6,9,5,0.1583786197768773,0,0,6,14,2,0.62967713551955,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,0
1,1,1,9670,1,1,139.0,1,38,19,5,7,0.25898358257974885,1,0,0,1,0,0,18,0,0,6,6,6,0.3514150870058838,0,0,6,7,5,0.7642238288279407,0,0.8762220667652447,-1.1052215545807416,0.347199421388147,2
1,1,1,9500,1,1,136.0,1,19,38,9,9,-0.5376455355228468,1,0,0,1,0,1,18,0,0,8,8,7,0.5336178749516294,0,0,8,8,7,0.5747601178426556,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,2
1,1,2,9853,1,1,133.0,1,19,37,4,9,0.23078432176195743,1,0,0,1,0,0,19,0,0,6,6,0,-2.1994239442345584,0,0,6,0,0,-1.9651519497137022,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,0
1,53,1,9254,1,42,110.0,1,1,1,4,7,-1.066381675856428,1,0,0,1,0,1,21,0,0,6,7,6,-0.01299048888560811,0,0,6,8,5,0.14915323084672547,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,2
1,1,1,9085,1,1,149.0,1,38,37,5,5,0.7172215708688526,1,0,0,1,0,1,18,0,0,5,7,4,0.5410044744629435,0,0,5,5,5,0.3413627927158553,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,2
1,1,1,9773,1,1,127.0,1,19,37,9,3,-0.4389481226605778,1,0,0,1,0,0,20,0,0,6,6,5,0.5306632351471038,0,0,6,7,0,-1.9651519497137022,0,1.476924272807967,1.1370048489905784,-1.7896667428492534,0
1,18,1,9238,1,1,137.0,1,19,38,5,8,0.7383710164821966,1,0,0,1,0,0,18,0,0,6,10,1,0.28247349156695284,0,0,6,14,2,0.14915323084672547,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,1
1,17,2,9500,1,1,135.0,1,19,1,5,4,0.026339680832973278,1,0,0,1,0,0,18,0,0,7,8,7,0.5526383686932632,0,0,8,8,8,0.8305361276727906,0,1.476924272807967,1.1370048489905784,-1.7896667428492534,2
1,1,1,9130,1,1,137.0,1,3,19,3,5,0.6608230492332718,1,0,0,1,0,0,20,0,0,5,8,4,0.3858858847253491,1,0,5,8,4,0.3894151831831377,2,-0.2876384574425296,0.12438647318417584,0.7657608350016585,2
1,1,1,9853,1,1,140.0,1,19,19,7,7,-0.16400532968711617,1,0,0,1,0,0,18,0,0,7,7,6,0.21353189612802181,0,0,7,8,6,0.62967713551955,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,1
1,1,3,171,1,1,122.0,1,1,1,9,8,-0.4671473834783692,0,0,0,1,0,1,21,0,0,0,0,0,-2.1994239442345584,0,0,0,0,0,-1.9651519497137022,0,-0.17500679380951956,-0.454252598705197,0.8891263042772198,2
1,18,4,9556,1,1,127.0,1,1,38,4,7,-0.361400155411653,1,0,0,1,0,0,20,0,0,7,14,7,0.16613454926375698,0,0,8,9,8,0.23084229464110578,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,1
1,1,4,9500,1,1,142.0,1,19,19,1,1,-0.10055699284708602,1,0,0,1,0,0,18,0,0,8,12,7,0.4597518798384894,0,0,8,12,7,0.5061138457465381,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,2
1,1,4,9670,1,1,125.0,1,1,38,4,7,-0.8478374045185472,1,0,0,1,0,1,19,0,0,6,8,6,0.5668575727525427,0,0,6,7,6,0.3962798103927496,0,-0.17500679380951956,-0.454252598705197,0.8891263042772198,2
1,1,1,9500,1,1,126.0,1,19,19,3,7,-0.21335403611824963,0,0,0,1,0,0,19,0,0,7,8,6,0.5506562978243943,0,0,8,9,7,0.7477487235248724,0,-0.17500679380951956,-0.454252598705197,0.8891263042772198,2
1,1,1,9238,1,1,151.0,1,19,38,9,9,2.1201347965539554,1,0,1,1,0,1,18,0,0,6,8,5,0.19974357704023568,0,0,6,12,4,0.14915323084672547,0,-1.4890428695279747,0.9923450810182353,0.14012166938988344,1
1,17,2,9238,1,1,115.0,1,19,38,7,8,-0.7420901764518308,1,0,0,1,0,0,21,0,0,6,9,6,0.15320800011895744,0,0,6,9,6,0.5884893722618795,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,2
1,1,1,9085,1,1,138.0,1,19,19,3,3,0.28718284339754024,1,0,0,1,0,0,18,0,0,5,9,5,0.42035668244481444,2,0,5,7,4,0.5335723545849851,0,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,1
1,1,1,9147,1,1,135.0,1,19,1,9,9,-0.3402507097983099,1,0,0,1,0,0,20,0,0,5,6,5,0.28247349156695284,0,0,5,6,5,0.405432646672232,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,2
1,17,2,9500,1,1,127.0,1,3,3,1,10,-0.5728946115450855,1,0,0,1,1,0,19,0,0,7,9,6,0.4755099587959589,0,0,7,7,6,0.6713225405911951,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,1
1,44,1,9003,1,39,150.0,1,4,5,4,2,1.6266477322426127,0,0,0,1,1,0,21,0,0,6,15,5,0.25292709352169684,0,0,6,17,5,0.06677770433138408,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,1
1,51,1,9070,1,1,125.0,1,42,3,125,124,0.21668469135306273,1,0,0,1,1,0,20,0,2,6,7,6,0.4548274801642801,0,0,6,9,4,0.6104561793326371,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,2
1,1,1,9147,1,1,143.0,1,1,1,4,6,0.8370684293444656,0,0,0,0,1,0,18,0,0,5,9,3,0.1445903006890912,0,0,5,8,2,0.62967713551955,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,1
1,18,1,8014,0,1,138.0,1,19,1,9,5,0.5339263755532115,1,0,0,1,0,0,19,0,0,6,6,6,0.42035668244481444,0,0,6,8,6,0.7978605021550386,0,0.3130637486001926,-0.5265824826913685,0.7877903830865802,2
1,1,1,9991,0,1,130.0,1,2,37,3,9,0.31538210421533164,0,0,0,1,1,0,34,0,0,5,6,5,0.3652034060936699,0,0,5,9,5,0.6159478811003265,0,0.8762220667652447,-1.1052215545807416,0.347199421388147,2
1,39,1,33,1,1,130.0,1,38,37,9,6,-1.7220144898700687,0,0,1,0,1,0,37,0,0,7,7,0,-2.1994239442345584,0,0,7,7,1,-0.04305633102240432,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,0
1,39,1,9119,1,10,133.1,1,34,37,0,0,0.13208690889969055,1,0,0,1,1,0,43,0,0,5,0,0,-2.1994239442345584,0,0,5,0,0,-1.9651519497137022,0,-1.4890428695279747,0.9923450810182353,0.14012166938988344,0
1,43,1,9147,1,1,140.0,1,37,37,6,6,-0.2838521881627271,0,0,0,1,0,0,55,0,0,5,10,1,-0.1311760810666324,0,0,5,8,2,0.3413627927158553,2,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,0
4,39,1,9991,0,1,120.0,1,19,19,9,3,-0.9183355565630247,1,0,0,1,0,0,39,0,0,5,8,5,0.07564870525016021,0,0,5,5,5,0.2644789679682033,0,-1.4890428695279747,0.9923450810182353,0.14012166938988344,2
1,44,1,9130,1,39,120.0,6,4,4,3,6,-0.4882968290917123,0,0,1,0,0,0,20,1,2,6,13,3,0.21353189612802181,0,1,6,11,3,0.3413627927158553,0,0.3130637486001926,-0.5265824826913685,0.7877903830865802,0
1,1,5,9773,1,1,126.0,1,3,3,2,2,-0.4107488618427874,0,0,1,1,0,0,18,0,0,6,6,4,0.43759208130454724,0,0,5,5,0,-1.9651519497137022,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,0
1,1,2,9147,1,1,133.0,1,3,19,2,7,-0.4600975682739209,1,0,0,1,0,0,22,0,0,5,5,5,0.8615828932539723,0,0,5,5,5,1.0717591278185485,0,-1.0009723271182625,0.12438647318417584,1.545606837207885,2
1,1,6,9500,1,1,103.0,1,1,3,2,2,-1.855960978754576,1,1,0,1,0,0,22,0,0,7,9,5,0.6812316795857292,0,0,8,9,7,0.7916823376663877,0,-0.17500679380951956,-0.454252598705197,0.8891263042772198,2
1,17,1,9773,1,1,120.0,1,1,38,5,5,-0.3895994162294434,0,0,0,0,0,0,20,0,0,6,7,4,0.4892982778837454,0,0,6,7,5,0.6873400040802891,0,0.3130637486001926,-0.5265824826913685,0.7877903830865802,0
1,39,1,9991,0,1,133.1,1,37,37,9,9,-1.2144277951498303,0,0,0,1,0,0,29,0,0,5,0,0,-2.1994239442345584,0,0,5,0,0,-1.9651519497137022,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,0
1,17,1,9991,0,1,154.0,1,38,38,4,5,0.5057271147354201,0,0,0,1,0,0,24,0,0,5,9,2,0.1790610984085565,0,0,5,11,3,0.7898517704104916,1,-1.4890428695279747,0.9923450810182353,0.14012166938988344,1
1,17,2,9238,1,1,130.0,1,19,19,9,9,0.04748912644631633,1,0,0,1,0,0,18,0,0,6,6,6,0.21353189612802181,0,0,6,8,5,0.5720142669588109,0,-0.17500679380951956,-0.454252598705197,0.8891263042772198,2
1,17,6,9500,1,1,132.0,1,37,19,7,7,0.38588025625980915,1,0,0,1,0,1,22,0,0,7,8,6,0.5961577508140881,0,0,8,9,7,0.6818483023125996,0,-0.17500679380951956,-0.454252598705197,0.8891263042772198,2
1,44,1,8014,0,39,130.0,1,1,19,9,9,0.45637840830428666,0,0,0,1,0,1,21,0,3,6,6,6,0.1790610984085565,0,2,6,7,6,0.5884893722618795,0,0.3130637486001926,-0.5265824826913685,0.7877903830865802,2
1,1,1,9238,1,1,139.0,1,37,38,9,9,-0.058258101620399926,0,0,0,1,0,1,19,0,0,6,7,5,0.3514150870058838,0,0,6,7,6,0.5015374276067969,0,0.4256954122332026,1.7879738048661231,-0.7498720732409514,2
1,39,1,9254,1,1,130.0,1,19,38,9,7,-0.946534817380816,0,0,0,1,0,1,24,0,0,6,6,6,0.6271814687616071,0,0,6,6,6,0.757816843432303,0,0.3130637486001926,-0.5265824826913685,0.7877903830865802,2
1,1,1,9500,1,1,139.0,1,37,38,6,6,-0.39664923143389175,1,0,0,1,0,1,19,0,0,8,10,6,0.2480026938474875,0,0,8,10,6,0.3093278657376671,0,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,1
1,1,1,9773,1,1,127.0,1,1,19,7,7,-0.361400155411653,1,0,0,1,0,1,20,0,0,6,11,4,0.696123064200538,0,0,6,12,3,0.14915323084672547,0,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,1
1,1,3,9130,1,1,167.0,1,37,37,90,90,2.2822805462562545,0,0,0,1,0,0,19,0,0,5,7,5,0.8438550544268183,0,0,5,5,5,1.0717591278185485,0,-1.4890428695279747,0.9923450810182353,0.14012166938988344,2
1,39,1,9991,0,1,130.0,1,38,38,9,9,-0.4882968290917123,0,0,0,1,0,0,27,0,0,5,12,5,-0.007081209276556914,0,0,5,10,5,0.14915323084672547,0,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,0
1,1,1,9500,1,1,130.0,1,1,19,5,5,0.15323635451303258,1,0,0,1,0,0,18,0,0,7,9,7,0.4984904906089362,0,0,8,10,8,0.6479370438971174,0,1.476924272807967,1.1370048489905784,-1.7896667428492534,2
2,7,1,9254,1,3,130.0,1,1,3,4,3,0.21668469135306273,0,0,0,1,0,0,39,0,0,6,10,0,-2.1994239442345584,0,0,6,6,0,-1.9651519497137022,0,0.3130637486001926,-0.5265824826913685,0.7877903830865802,0
1,39,1,9130,1,40,129.0,1,3,3,2,2,2.0002879380783445,1,0,0,1,0,0,27,0,0,6,9,5,0.4892982778837454,0,5,11,13,10,0.5143513983980721,0,0.3130637486001926,-0.5265824826913685,0.7877903830865802,0
1,17,1,9500,1,1,141.0,1,38,38,7,10,0.9075665813889431,1,0,0,1,0,0,18,0,0,8,8,8,0.8895042394067392,0,0,8,8,8,0.9054978568017513,0,-0.8132528877299118,-1.4668709745115993,-1.3755112388527264,2
1,1,3,171,1,1,125.0,1,38,37,4,9,-0.8266879589052041,1,0,0,1,0,0,18,0,0,0,0,0,-2.1994239442345584,0,0,0,0,0,-1.9651519497137022,0,-1.4890428695279747,0.9923450810182353,0.14012166938988344,1
1,1,2,9500,1,1,125.0,1,19,19,9,9,-0.8478374045185472,0,0,0,1,0,0,18,0,0,7,8,6,0.5168749160593177,0,0,8,12,7,0.3839234814154483,0,1.7397314879516577,-0.6712422506637118,-0.40621112311617363,2
1,44,1,9238,1,39,130.0,1,19,1,9,9,0.3506311802375704,0,0,0,1,0,1,21,0,3,6,7,6,0.28247349156695284,0,2,6,7,6,0.3413627927158553,0,0.8762220667652447,-1.1052215545807416,0.347199421388147,2
1,17,3,171,1,1,133.0,1,1,37,4,7,-0.06530791682484727,1,0,0,1,1,1,19,0,0,0,0,0,-2.1994239442345584,0,0,0,0,0,-1.9651519497137022,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,1
1,17,1,9070,1,1,127.0,1,1,1,3,4,0.23078432176195743,1,0,0,1,1,0,19,0,0,6,6,5,0.1583786197768773,0,0,6,8,1,-0.04305633102240432,0,-0.2876384574425296,0.12438647318417584,0.7657608350016585,1
